Message Id,Category,Brand Name,Model Name,Ram,Rom,Price,Avg Actual Price,Img Url,Where Buy List,Hist Min Price,Hist Min Shop,Hist Min Date,Post Datetime,Text Hash,Is Actual
647,смартфоны,samsung,galaxy a21s,4,64,12899,15041.0,https://img.mvideo.ru/pdb/small_pic/480/30050049b.jpg,"[(3, 'красный', 'https://www.dns-shop.ru/product/41560f5d98fc3332/65-smartfon-samsung-galaxy-a21s-64-gb-krasnyj/')]",12899,3,2021-02-01 19:10:46.194581,2021-02-01 19:11:12.983165,7391d277c1d89a7db1d7c447e1fefc03ca697a4491e0a8509a47da027c4819ad,False
648,смартфоны,honor,10x lite,4,128,12999,15420.0,https://img.mvideo.ru/pdb/small_pic/480/30053612b.jpg,"[(3, 'зеленый', 'https://www.dns-shop.ru/product/f6ac62fe175b3332/667-smartfon-honor-10x-lite-128-gb-zelenyj/'), (3, 'фиолетовый', 'https://www.dns-shop.ru/product/26f8a9bc175d3332/667-smartfon-honor-10x-lite-128-gb-fioletovyj/'), (3, 'черный', 'https://www.dns-shop.ru/product/2b30a423175b3332/667-smartfon-honor-10x-lite-128-gb-cernyj/')]",12549,3,2020-12-21 03:27:33.486174,2021-02-01 19:11:16.945339,7e9e5c5da8df548882666bab331a00225ab77b963d4babfdee10b83b72d94b77,False
649,смартфоны,apple,iphone 12 mini,0,128,50490,71331.0,https://img.mvideo.ru/pdb/small_pic/480/30052870b.jpg,"[(5, 'синий', 'https://www.shop.mts.ru/product/smartfon-apple-iphone-12-mini-128gb-sinij')]",50490,5,2021-01-21 19:09:16.341807,2021-02-01 19:11:17.451363,308a25142a11f6dd3b50a86baa279a96b21efe0b6401c8d592003fe5ea01c6a4,False
650,смартфоны,realme,6,8,128,10990,16992.0,https://img.mvideo.ru/pdb/small_pic/480/30048607b.jpg,"[(5, 'comet blue', 'https://www.shop.mts.ru/product/smartfon-realme-6-8-128gb-comet-blue'), (5, 'comet white', 'https://www.shop.mts.ru/product/smartfon-realme-6-8-128gb-comet-white')]",10990,5,2021-02-06 15:22:59.067632,2021-02-06 15:23:36.019477,0776c15b59a722930cdf7a2466ea1bc368938643f43967f5ccdbe2c61d09a7f1,False
651,смартфоны,xiaomi,mi 10t,8,128,5990,37770.0,https://img.mvideo.ru/pdb/small_pic/480/30054229b.jpg,"[(1, 'black', 'https://www.mvideo.ru/products/smartfon-xiaomi-mi-10t-8128gb-black-30054229')]",5990,1,2021-02-06 15:22:59.146828,2021-02-06 15:23:38.149493,cc8047c591365726e1f05ff7395e0a0fb5b8a7206bc1c90013ac60ca55d4150f,False
652,смартфоны,sony,xperia 5 ii,8,128,49999,63326.0,https://c.dns-shop.ru/thumb/st1/fit/200/200/7d28727a0aedf945c15bf258f931eba3/ccd38d359ce2909f1e59438ddc1530d70d606403d1d757cee9c9113617593346.jpg,"[(3, 'синий', 'https://www.dns-shop.ru/product/33514c1efc6d1b80/61-smartfon-sony-xperia-5-ii-128-gb-sinij/'), (3, 'черный', 'https://www.dns-shop.ru/product/f898fac3fc6c1b80/61-smartfon-sony-xperia-5-ii-128-gb-cernyj/')]",49999,3,2021-02-06 15:22:59.174003,2021-02-06 15:23:40.337484,172f7b459b50c7541a147e08f4fb2fd2af6380db5bc67a168b7363470cb569d3,False
653,смартфоны,sony,xperia 5 ii,8,128,49990,59990.0,https://img.mvideo.ru/pdb/small_pic/480/30053769b.jpg,"[(1, 'black', 'https://www.mvideo.ru/products/smartfon-sony-xperia5ii-black-xq-as52-30053769'), (1, 'blue', 'https://www.mvideo.ru/products/smartfon-sony-xperia5ii-blue-xq-as52-30053770')]",69990,1,2021-02-06 14:38:17.047902,2021-02-06 15:23:42.539485,082b37b54e16c278287841b38971d1271c25807d32d1bd433b73348f003627a4,False
654,смартфоны,oppo,a53,4,64,8890,12017.0,https://img.mvideo.ru/pdb/small_pic/480/30053595b.jpg,"[(1, 'fancy blue', 'https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-fancy-blue-cph2127-30053595')]",8890,1,2021-02-06 23:41:17.528437,2021-02-06 23:41:58.010412,48e87ee0f848a7f6792c4009606ae1d7d98ed37849fce9724b3ed7587f94d9fc,False
655,смартфоны,nokia,5.3,4,64,10499,13642.0,https://img.mvideo.ru/pdb/small_pic/480/30050275b.jpg,"[(3, 'черный', 'https://www.dns-shop.ru/product/c8dbcb7b73dc3332/655-smartfon-nokia-53-64-gb-cernyj/')]",9490,5,2021-02-06 15:22:59.049587,2021-02-06 23:41:59.880760,1b4cdcc8e10de8d922d8556845bdb45803b22f3a51f3a9ff0901721398456b1d,False
656,смартфоны,nokia,5.3,4,64,10990,13442.0,https://img.mvideo.ru/pdb/small_pic/480/30050275b.jpg,"[(5, 'black', 'https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-black'), (5, 'turquoise', 'https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-turquoise')]",9490,5,2021-02-06 15:22:59.049587,2021-02-06 23:46:59.655251,bdedbb74a9a2b14ba473f26f06ba2ed06fcbb5c49ba1f1bb33b649fb58f9a1cb,False
657,смартфоны,realme,6,4,128,14990,16742.0,https://img.mvideo.ru/pdb/small_pic/480/30048607b.jpg,"[(5, 'comet blue', 'https://www.shop.mts.ru/product/smartfon-realme-6-4-128gb-comet-blue')]",14990,5,2020-12-26 18:39:23.836190,2021-02-06 23:47:01.548406,21a1b4b26f9609ce1945591b17bbc4448ba6ad978d8617ded8911907a84051b7,False
